message_size,run,throughput_gbps,avg_latency_us,p50,p95,p99
4096,0,1.727,2.15078,1.174,1.445,51.729
4096,1,1.34925,2.77549,0.993,1.49,54.121
4096,2,1.36281,2.74824,1.038,1.489,53.715
4096,3,1.28351,2.92046,0.993,1.49,54.347
4096,4,1.25501,2.98753,0.948,1.535,54.438
4096,5,1.17527,3.18939,1.038,1.806,56.92
